Protein.IDs,LFQ.intensity.01.51.48.N,LFQ.intensity.02.2870.17.T,LFQ.intensity.03.613.19.T,LFQ.intensity.04.91.19.N,LFQ.intensity.05.1200.18.N,LFQ.intensity.06.34.20.T,LFQ.intensity.07.306.19.T,LFQ.intensity.08.2283.18.T,LFQ.intensity.10.885.17.T,LFQ.intensity.11.51.18.T,LFQ.intensity.12.1315.18.T,LFQ.intensity.13.1219.17.T,LFQ.intensity.14.1301.19.N,LFQ.intensity.15.1219.17.N,LFQ.intensity.16.2286.19.T,LFQ.intensity.17.2097.17.T,LFQ.intensity.18.1301.19.T,LFQ.intensity.19.2870.17.N,LFQ.intensity.20.2097.17.N,LFQ.intensity.21.613.19.N,LFQ.intensity.22.1200.18.T,LFQ.intensity.23.1512.18.T,LFQ.intensity.24.885.17.N,LFQ.intensity.25.2286.19.N,LFQ.intensity.26.91.19.T,LFQ.intensity.27.1315.18.N,LFQ.intensity.28.2283.18.N
sp|Q8N8S7|ENAH_HUMAN,NA,2542300,NA,NA,1361700,1120500,2645000,2194300,2192900,NA,2351900,1717500,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982300,NA,NA,3261800,NA,NA
sp|Q8N983-4|RM43_HUMAN;sp|Q8N983-3|RM43_HUMAN;sp|Q8N983-2|RM43_HUMAN;sp|Q8N983|RM43_HUMAN;sp|Q8N983-6|RM43_HUMAN;sp|Q8N983-7|RM43_HUMAN,NA,822910,713280,NA,NA,NA,1562900,NA,917800,570470,457520,1193200,NA,NA,841090,2069200,353370,602500,NA,NA,1396200,NA,NA,NA,NA,NA,594490
sp|Q8NAV1|PR38A_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8NB37-2|GALD1_HUMAN;sp|Q8NB37|GALD1_HUMAN;sp|Q8NB37-3|GALD1_HUMAN,NA,NA,NA,NA,NA,2504100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2678900,NA,NA,NA,NA,NA
sp|Q8NBJ4|GOLM1_HUMAN;sp|Q8NBJ4-2|GOLM1_HUMAN,NA,1601200,1350400,NA,NA,1838200,774600,NA,NA,1513500,1348900,1207200,NA,NA,2307000,1406500,1996500,NA,NA,NA,1933700,NA,NA,NA,2246600,NA,NA
sp|Q8NBJ5|GT251_HUMAN,2584200,3049700,4046700,1111100,4245900,1669500,2444300,4059500,2242100,2984900,6536300,4233900,1669600,4115800,1435400,2323800,2067100,4627200,5941300,5117300,3871300,2098300,NA,2141400,2052200,2162100,3805500
sp|Q8NBJ7|SUMF2_HUMAN;sp|Q8NBJ7-3|SUMF2_HUMAN;sp|Q8NBJ7-2|SUMF2_HUMAN;sp|Q8NBJ7-5|SUMF2_HUMAN;sp|Q8NBJ7-4|SUMF2_HUMAN,2346100,1727500,1315200,1895600,1465900,2792500,1204900,4001100,764740,2011000,1362000,960470,1390100,935230,1895300,1302800,2115800,2107600,1678000,2021500,760830,1948100,851800,1021000,2307600,1377800,2590500
sp|Q8NBM4-4|UBAC2_HUMAN;sp|Q8NBM4-3|UBAC2_HUMAN;sp|Q8NBM4-2|UBAC2_HUMAN;sp|Q8NBM4|UBAC2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8NBQ5|DHB11_HUMAN,NA,1359900,1604400,NA,2266200,NA,1276200,NA,NA,NA,1168000,874120,NA,1384900,NA,NA,942170,1961200,3461500,2022800,1361700,NA,770140,1394100,NA,1378700,NA
sp|Q8NBS9-2|TXND5_HUMAN;sp|Q8NBS9|TXND5_HUMAN,14516000,18364000,19065000,12452000,7574900,23502000,14957000,15634000,38582000,32746000,22311000,12313000,7203300,11705000,8033700,21561000,19491000,12196000,7613400,10373000,8560500,20562000,9838100,12243000,32064000,10836000,7157900
sp|Q8NBX0|SCPDL_HUMAN,NA,2164000,2430200,NA,1294000,2235000,3060200,NA,1318300,2934500,2693700,NA,1122900,1068300,2351400,2572200,687190,1915700,1504000,1697600,1716900,1629500,1269100,2092800,1275100,1810400,1618400
sp|Q8NC51|SERB1_HUMAN;sp|Q8NC51-3|SERB1_HUMAN;sp|Q8NC51-2|SERB1_HUMAN;sp|Q8NC51-4|SERB1_HUMAN,13900000,17626000,13778000,8370300,9046200,9764900,14899000,17394000,15899000,11661000,7213600,9252000,8772000,6567200,3013700,13605000,22542000,9413000,5875900,6320700,7462400,15130000,6991100,4541700,25093000,5299000,11431000
sp|Q8NC56|LEMD2_HUMAN;sp|Q8NC56-2|LEMD2_HUMAN,2648000,1967900,2903100,3166300,2735500,2922000,3496000,2795500,2563200,5207200,3662500,1919400,2951300,2319000,2398700,5018400,2076700,2658200,3410200,1932400,3001400,3578300,3213900,2605000,4841200,2618200,1770000
sp|Q8NCM8-2|DYHC2_HUMAN;sp|Q8NCM8|DYHC2_HUMAN;sp|Q8NCM8-3|DYHC2_HUMAN,8031500,8388800,7053200,9914200,4209400,12347000,3271800,NA,5564600,11834000,17423000,21606000,8536800,7140600,21986000,8466000,12118000,5173400,6279200,4526300,10973000,4948700,4885300,8364100,9154300,8098400,NA
sp|Q8NCW5|NNRE_HUMAN;sp|Q8NCW5-2|NNRE_HUMAN,4584900,5741400,4644200,2819900,2363200,6120000,8937600,7287800,7501500,21005000,5514300,6506800,4652600,3859700,13851000,10390000,4776200,2462900,NA,1987900,5066900,5273500,2632200,4738400,10074000,2192000,3582300
sp|Q8NCX0|CC150_HUMAN,NA,7595400,7703800,NA,NA,NA,19506000,NA,NA,4724800,5985200,7941100,NA,NA,7997600,7213700,NA,8254000,NA,NA,8971500,NA,NA,6954900,NA,10587000,NA
sp|Q8ND56-3|LS14A_HUMAN;sp|Q8ND56-2|LS14A_HUMAN;sp|Q8ND56|LS14A_HUMAN,NA,NA,NA,NA,NA,NA,3326200,NA,NA,1242300,NA,NA,NA,NA,NA,2547300,NA,NA,NA,NA,NA,2484900,NA,NA,2293200,NA,NA
sp|Q8ND76-3|CCNY_HUMAN;sp|Q8ND76-2|CCNY_HUMAN;sp|Q8ND76|CCNY_HUMAN,NA,NA,618280,NA,NA,NA,630750,NA,NA,320710,651020,356340,NA,NA,NA,609160,NA,282520,NA,NA,NA,508080,NA,NA,NA,NA,NA
sp|Q8NDA2|HMCN2_HUMAN;sp|Q8NDA2-2|HMCN2_HUMAN;sp|Q8NDA2-4|HMCN2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8NDA8|MROH1_HUMAN;sp|Q8NDA8-2|MROH1_HUMAN;sp|Q8NDA8-6|MROH1_HUMAN;sp|Q8NDA8-5|MROH1_HUMAN;sp|Q8NDA8-4|MROH1_HUMAN;sp|Q8NDA8-7|MROH1_HUMAN;sp|Q8NDA8-3|MROH1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8NDH3-3|PEPL1_HUMAN;sp|Q8NDH3-2|PEPL1_HUMAN;sp|Q8NDH3-5|PEPL1_HUMAN;sp|Q8NDH3-4|PEPL1_HUMAN;sp|Q8NDH3|PEPL1_HUMAN,NA,672990,NA,NA,NA,NA,NA,NA,790320,914570,NA,753520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8NE71|ABCF1_HUMAN;sp|Q8NE71-2|ABCF1_HUMAN,NA,960990,NA,NA,NA,1388800,1893000,986450,1059000,1224600,1029700,NA,NA,NA,1041800,1013100,1012900,NA,NA,NA,757810,881080,NA,NA,1627300,NA,NA
sp|Q8NE86-3|MCU_HUMAN;sp|Q8NE86-2|MCU_HUMAN;sp|Q8NE86|MCU_HUMAN,818070,789370,NA,1003700,766140,NA,4296100,NA,832180,2046400,853720,4106000,NA,756200,1026600,2897800,827790,1250900,1017100,966170,1653600,NA,NA,1515300,NA,897010,613220
sp|Q8NF37|PCAT1_HUMAN,4684200,4240300,1503600,1256900,3358800,2475700,446110,4747400,2585700,5360400,2030400,3475600,3498400,4708700,313070,1878200,2234900,4750200,2757900,3022700,526110,825890,2935300,1500800,1697600,2136800,6870100
sp|Q8NF91|SYNE1_HUMAN;sp|Q8NF91-4|SYNE1_HUMAN;sp|Q8NF91-7|SYNE1_HUMAN;sp|Q8NF91-10|SYNE1_HUMAN;sp|Q8NF91-8|SYNE1_HUMAN;sp|Q8NF91-2|SYNE1_HUMAN;sp|Q8NF91-12|SYNE1_HUMAN;sp|Q8NF91-9|SYNE1_HUMAN;sp|Q8NF91-3|SYNE1_HUMAN;sp|Q8NF91-11|SYNE1_HUMAN;sp|Q8NF91-5|SYNE1_HUMAN;sp|Q8NF91-6|SYNE1_HUMAN,4498400,NA,NA,NA,NA,6434200,NA,8044500,7597500,12090000,5121200,NA,6519500,NA,8155900,NA,6166400,4616300,4998600,NA,5487700,NA,NA,5752400,6940600,8545500,NA
sp|Q8NFH3|NUP43_HUMAN;sp|Q8NFH3-2|NUP43_HUMAN,NA,1132100,NA,NA,NA,NA,1258000,436110,NA,NA,396530,443500,NA,NA,NA,963050,NA,NA,NA,NA,NA,NA,NA,NA,NA,372710,NA
sp|Q8NFH5|NUP35_HUMAN;sp|Q8NFH5-2|NUP35_HUMAN;sp|Q8NFH5-3|NUP35_HUMAN,491930,613530,NA,NA,NA,748840,1264600,762970,578370,615880,660050,523010,746600,NA,700350,1035700,548530,NA,NA,NA,631110,NA,NA,NA,806380,NA,NA
sp|Q8NFJ5|RAI3_HUMAN,3814600,NA,8456800,4306200,4948000,NA,5490400,NA,1850300,6913700,2100500,3652900,NA,4769100,NA,NA,NA,2223300,3329800,NA,1800500,5175900,3514300,3122200,NA,4108100,4771500
sp|Q8NFU3|TSTD1_HUMAN;sp|Q8NFU3-2|TSTD1_HUMAN;sp|Q8NFU3-4|TSTD1_HUMAN;sp|Q8NFU3-3|TSTD1_HUMAN,6187200,3289500,7041900,4755300,3396000,4512900,6006300,8001800,6094800,1637400,1994300,NA,3140400,2815300,6005000,2742600,2491400,3010100,3478700,2050000,NA,9742100,3914800,4078300,5553200,NA,4184600
sp|Q8NFV4|ABHDB_HUMAN;sp|Q8NFV4-4|ABHDB_HUMAN;sp|Q8NFV4-6|ABHDB_HUMAN;sp|Q8NFV4-3|ABHDB_HUMAN;sp|Q8NFV4-2|ABHDB_HUMAN;sp|Q8NFV4-5|ABHDB_HUMAN,3802900,2205900,4571300,2813700,2269300,NA,3153400,3408100,2903500,9256900,4524900,2983400,NA,2979500,NA,4570800,2961400,NA,3361900,4064500,8766200,2068400,NA,3825300,NA,2763400,NA
sp|Q8NFW8|NEUA_HUMAN;sp|Q8NFW8-2|NEUA_HUMAN,418180,485910,260980,NA,267360,1390700,6000600,712880,839230,2086000,438030,649620,784820,368290,NA,428280,1756200,1016600,529740,283940,954480,NA,372400,NA,559600,NA,NA
sp|Q8NI27|THOC2_HUMAN;sp|Q8NI27-2|THOC2_HUMAN,NA,964030,NA,NA,NA,NA,1289100,1026300,619680,479400,456500,NA,688610,NA,NA,1085800,1030700,NA,NA,NA,NA,726070,NA,NA,NA,NA,NA
sp|Q8NI36|WDR36_HUMAN,NA,NA,446960,NA,NA,NA,1173800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TAA3-2|PSMA8_HUMAN;sp|Q8TAA3-5|PSMA8_HUMAN;sp|Q8TAA3|PSMA8_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TAE8|G45IP_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TAQ2-2|SMRC2_HUMAN;sp|Q8TAQ2-3|SMRC2_HUMAN;sp|Q8TAQ2|SMRC2_HUMAN,NA,1161800,NA,NA,NA,NA,743480,NA,NA,621070,404300,717840,NA,NA,NA,478390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TAT6|NPL4_HUMAN;sp|Q8TAT6-2|NPL4_HUMAN,811860,1727000,860700,845470,NA,1499700,2536700,885550,1026500,2644400,2034200,1893300,NA,513890,1121000,1563700,1039100,NA,NA,NA,1100000,1493700,1368400,NA,1777000,NA,1585000
sp|Q8TB03|CX038_HUMAN;sp|Q8TB03-3|CX038_HUMAN;sp|Q8TB03-2|CX038_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TB61-3|S35B2_HUMAN;sp|Q8TB61-2|S35B2_HUMAN;sp|Q8TB61|S35B2_HUMAN;sp|Q8TB61-5|S35B2_HUMAN;sp|Q8TB61-4|S35B2_HUMAN,NA,NA,903530,NA,NA,NA,549240,NA,NA,NA,NA,NA,NA,NA,1272800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TBA6-2|GOGA5_HUMAN;sp|Q8TBA6|GOGA5_HUMAN,NA,NA,NA,NA,NA,NA,NA,1196600,1974600,NA,1192600,1394700,NA,NA,NA,NA,5202000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TBC4-2|UBA3_HUMAN;sp|Q8TBC4|UBA3_HUMAN,NA,1076000,1319300,NA,NA,NA,NA,NA,NA,965530,1377100,NA,NA,1005200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TBX8|PI42C_HUMAN;sp|Q8TBX8-3|PI42C_HUMAN;sp|Q8TBX8-2|PI42C_HUMAN,583180,613130,694840,NA,NA,NA,836010,573430,495580,636440,451400,427710,NA,NA,NA,740660,946110,526040,NA,NA,1677800,1315300,NA,NA,1044400,NA,NA
sp|Q8TC12-2|RDH11_HUMAN;sp|Q8TC12|RDH11_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TC71|MIEAP_HUMAN;sp|Q8TC71-2|MIEAP_HUMAN,916970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,892190,2534500,NA,1139300,NA
sp|Q8TCD5|NT5C_HUMAN;sp|Q8TCD5-2|NT5C_HUMAN,NA,NA,NA,NA,NA,NA,1772000,974360,960310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1541200,NA,NA,NA,909080,NA
sp|Q8TCJ2|STT3B_HUMAN,819670,1002500,1309300,NA,1004400,1148100,1539500,1035300,989890,1736200,2113000,1713000,769350,1135800,2251400,896980,1183600,1013700,1133400,1377700,1390500,NA,NA,1481600,1844200,1435700,1052600
sp|Q8TCS8|PNPT1_HUMAN,NA,NA,NA,NA,NA,NA,447950,NA,NA,NA,NA,NA,NA,NA,NA,541880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TCT9-5|HM13_HUMAN;sp|Q8TCT9|HM13_HUMAN;sp|Q8TCT9-2|HM13_HUMAN;sp|Q8TCT9-4|HM13_HUMAN,NA,523270,1151800,NA,NA,885960,1819600,888840,1236000,822880,1306500,952010,NA,NA,1536700,1093900,1172500,NA,NA,NA,1465500,NA,NA,NA,2608200,NA,NA
sp|Q8TD06|AGR3_HUMAN,2761500,6140000,4195100,NA,5239100,893050,5927300,639620,1549800,1949300,3379300,1402300,NA,3303800,8450000,NA,NA,5618100,3734300,4635400,NA,1348200,1906600,14475000,3395700,2743800,2065900
sp|Q8TD19|NEK9_HUMAN,NA,847210,NA,NA,NA,NA,NA,857770,815010,NA,969480,NA,NA,NA,NA,665350,856500,837450,NA,NA,NA,1189900,NA,NA,NA,NA,NA
sp|Q8TD55|PKHO2_HUMAN;sp|Q8TD55-2|PKHO2_HUMAN,1116300,854360,851450,1341300,1266000,830730,NA,1077600,1763000,1040800,1670000,790900,1396900,1305100,NA,NA,926590,1310300,1118300,NA,722310,1840200,NA,NA,1226500,1590600,1828500
sp|Q8TDB6|DTX3L_HUMAN;sp|Q8TDB6-2|DTX3L_HUMAN,NA,NA,6259800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16462000,7713500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TDD1|DDX54_HUMAN;sp|Q8TDD1-2|DDX54_HUMAN,NA,494720,NA,NA,NA,NA,913060,NA,NA,466370,419020,515590,NA,NA,NA,1376200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TDL5|BPIB1_HUMAN;sp|Q8TDL5-2|BPIB1_HUMAN,632830,598180,NA,31503000,NA,446550,NA,269510,NA,2374100,NA,596200,NA,421390,NA,NA,NA,299330,NA,NA,NA,NA,901740,21164000,NA,1445700,NA
sp|Q8TDN6|BRX1_HUMAN,479280,1880600,1367300,NA,680530,1427900,1980500,898920,1014800,1413400,620230,2528500,NA,NA,1599100,1558800,1537100,506870,NA,403810,843310,NA,NA,654000,1196500,NA,NA
sp|Q8TDP1|RNH2C_HUMAN,NA,1683600,NA,NA,NA,NA,1083800,1261600,1303600,1436100,NA,NA,NA,NA,NA,2194700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TE68-3|ES8L1_HUMAN;sp|Q8TE68|ES8L1_HUMAN;sp|Q8TE68-2|ES8L1_HUMAN,NA,447240,5443900,NA,651790,560320,NA,380660,501480,762440,639410,528620,NA,991280,1201200,676470,516330,NA,NA,NA,NA,NA,NA,NA,NA,NA,453470
sp|Q8TE73|DYH5_HUMAN,NA,14944000,NA,NA,16453000,NA,21294000,NA,NA,17021000,15696000,15783000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20050000,NA,NA,NA,NA
sp|Q8TE77|SSH3_HUMAN;sp|Q8TE77-3|SSH3_HUMAN;sp|Q8TE77-4|SSH3_HUMAN;sp|Q8TE77-2|SSH3_HUMAN,NA,NA,2560400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1422600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TEM1|PO210_HUMAN;sp|Q8TEM1-2|PO210_HUMAN,2363800,6268700,2600500,NA,4856500,2627000,5015400,2544700,2805800,3832700,2264700,3527700,NA,2857800,NA,7546500,1713600,NA,3117800,5962400,2855400,1867600,NA,3721700,3700300,NA,2789900
sp|Q8TEQ6|GEMI5_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TEX9|IPO4_HUMAN;sp|Q8TEX9-2|IPO4_HUMAN,72139000,91342000,29941000,NA,54601000,35220000,68931000,NA,NA,NA,35786000,67142000,51910000,72402000,48602000,52519000,42061000,43794000,81211000,60800000,31090000,NA,55434000,49538000,NA,NA,58248000
sp|Q8TF05-2|PP4R1_HUMAN;sp|Q8TF05|PP4R1_HUMAN,NA,NA,NA,NA,NA,NA,483520,NA,NA,283180,1050100,431790,NA,NA,NA,753370,537120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TF09|DLRB2_HUMAN;sp|Q9NP97|DLRB1_HUMAN;sp|Q9NP97-2|DLRB1_HUMAN,7107300,6080900,5900000,6019300,NA,NA,5616000,NA,NA,5134500,5666300,4981600,NA,6367500,NA,7183100,5656400,NA,NA,NA,NA,5519800,5365800,8409200,5477900,NA,NA
sp|Q8TF66|LRC15_HUMAN;sp|Q8TF66-2|LRC15_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2408100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829600,NA,NA,NA,978810,NA,NA
sp|Q8TF72|SHRM3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8TF74|WIPF2_HUMAN;sp|Q8TF74-2|WIPF2_HUMAN,489280,378510,415910,NA,NA,622650,1823300,628700,680750,1166900,466820,379470,NA,NA,NA,512430,1398600,297560,NA,NA,NA,555180,531220,NA,1483700,NA,NA
sp|Q8WTS1|ABHD5_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8WTS6|SETD7_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8WTW3|COG1_HUMAN,NA,1175500,968710,NA,535740,685010,NA,NA,708610,942460,NA,NA,NA,NA,NA,1403900,610490,NA,NA,NA,NA,1054100,NA,NA,NA,NA,NA
sp|Q8WU39|MZB1_HUMAN;sp|Q8WU39-3|MZB1_HUMAN,6980000,15814000,3237800,5284700,2411400,16492000,1507100,5409800,32946000,21329000,9437200,2369700,NA,4631300,3202000,4860700,18088000,3887600,2323300,1301300,6982500,11889000,3988900,3247100,31312000,4578400,NA
sp|Q8WU79-3|SMAP2_HUMAN;sp|Q8WU79-2|SMAP2_HUMAN;sp|Q8WU79|SMAP2_HUMAN,1084700,1285500,NA,NA,747310,971140,593110,NA,933100,1264900,840300,NA,742790,NA,NA,NA,927330,728810,NA,NA,NA,NA,NA,NA,NA,803430,NA
sp|Q8WUF5|IASPP_HUMAN,267270,NA,638700,NA,NA,NA,265290,708470,587870,1099900,507580,287540,NA,NA,NA,NA,1622000,NA,NA,NA,605540,908930,NA,NA,644720,NA,NA
sp|Q8WUH6|TM263_HUMAN,NA,590720,NA,NA,NA,NA,NA,NA,656210,NA,NA,1171400,NA,NA,NA,1125700,683840,NA,NA,NA,542730,NA,NA,NA,NA,NA,NA
sp|Q8WUM0|NU133_HUMAN,NA,1410000,987970,NA,NA,NA,1529700,NA,503420,1335400,688820,766710,NA,NA,NA,1638600,555160,NA,NA,NA,NA,658830,NA,NA,NA,NA,NA
sp|Q8WUM4|PDC6I_HUMAN;sp|Q8WUM4-2|PDC6I_HUMAN;sp|Q8WUM4-3|PDC6I_HUMAN,6035600,5956600,6359500,5626800,5527800,5989100,5740200,6431100,8255600,7186300,5771900,4099300,6601500,6499400,7124700,4085600,8211500,7035100,6063000,5095000,5008100,8661200,7137900,6345300,8705600,6012900,6316000
sp|Q8WUY1|THEM6_HUMAN,NA,2278400,NA,NA,864080,NA,1636300,857860,795110,1051500,789160,918010,NA,967650,821690,2836000,603720,1167500,1089600,NA,1073400,1142800,871950,984370,1016000,850250,NA
sp|Q8WVJ2|NUDC2_HUMAN,NA,1632000,NA,NA,NA,NA,1439800,NA,NA,NA,NA,NA,NA,NA,NA,1124600,1240100,NA,NA,NA,1541000,1575700,NA,NA,1285200,NA,NA
sp|Q8WVM0|TFB1M_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8WVM7-2|STAG1_HUMAN;sp|Q8WVM7|STAG1_HUMAN,NA,NA,1305600,NA,NA,NA,1310800,NA,NA,2286700,NA,4834900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8WVM8|SCFD1_HUMAN;sp|Q8WVM8-2|SCFD1_HUMAN;sp|Q8WVM8-3|SCFD1_HUMAN,427860,2140800,1563400,804300,878160,1095700,2007000,1225200,1037400,1170200,1501400,1638700,712540,693800,1236100,1141400,1205700,922840,596670,538930,1194700,946590,815030,1106700,1022000,729410,839850
sp|Q8WVV4-1|POF1B_HUMAN;sp|Q8WVV4|POF1B_HUMAN;sp|Q8WVV4-3|POF1B_HUMAN,NA,NA,NA,NA,NA,NA,3649500,NA,NA,1150800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8WVV9-5|HNRLL_HUMAN;sp|Q8WVV9-4|HNRLL_HUMAN;sp|Q8WVV9|HNRLL_HUMAN;sp|Q8WVV9-3|HNRLL_HUMAN,NA,NA,NA,NA,NA,NA,1125400,NA,NA,NA,NA,NA,NA,NA,NA,1576500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|Q8WVY7|UBCP1_HUMAN,NA,1807500,952920,NA,NA,NA,846130,784360,1404900,1652100,1970200,2764500,NA,NA,806620,1461200,822990,724690,NA,NA,891390,736910,NA,791290,842110,650330,NA
sp|Q8WW12|PCNP_HUMAN;sp|Q8WW12-2|PCNP_HUMAN;sp|Q8WW12-3|PCNP_HUMAN,1572300,2172300,658310,956280,NA,1510100,1895100,1583700,2680300,1646800,743050,NA,1405400,NA,1197200,2099800,2187100,NA,NA,NA,NA,1718100,NA,NA,3147800,NA,NA
sp|Q8WWI1-3|LMO7_HUMAN;sp|Q8WWI1-5|LMO7_HUMAN;sp|Q8WWI1-4|LMO7_HUMAN;sp|Q8WWI1-2|LMO7_HUMAN;sp|Q8WWI1|LMO7_HUMAN,6635100,1693100,5951800,7336100,6721900,4312800,6925600,3370900,7135100,5856800,3122600,2015500,9862700,4929200,2257600,2378200,8300100,8026400,3978100,NA,3434500,8968100,10420000,4643300,4833800,5263100,8231200
sp|Q8WWM7|ATX2L_HUMAN;sp|Q8WWM7-6|ATX2L_HUMAN;sp|Q8WWM7-8|ATX2L_HUMAN;sp|Q8WWM7-5|ATX2L_HUMAN;sp|Q8WWM7-4|ATX2L_HUMAN;sp|Q8WWM7-9|ATX2L_HUMAN;sp|Q8WWM7-2|ATX2L_HUMAN;sp|Q8WWM7-3|ATX2L_HUMAN,2141200,2272200,2373000,NA,1941800,1887300,5467800,2615800,3471800,3565200,2931100,2682500,1686800,453620,NA,3870500,6045400,2390000,777660,NA,1594800,2740200,1588600,1132800,6012300,NA,2091400
sp|Q8WWP7|GIMA1_HUMAN,4131300,NA,NA,NA,3316500,1768300,2252500,4630200,4480700,NA,5474500,NA,NA,NA,NA,NA,1515900,3370300,NA,3185600,2608700,NA,5478900,2957400,NA,NA,3164200
sp|Q8WWX9|SELM_HUMAN,NA,NA,NA,NA,1248400,NA,NA,NA,961550,1138500,784090,NA,NA,1199100,NA,NA,NA,803630,938560,1283500,NA,NA,NA,927870,NA,716470,NA
sp|Q8WWY3|PRP31_HUMAN;sp|Q8WWY3-4|PRP31_HUMAN;sp|Q8WWY3-3|PRP31_HUMAN;sp|Q8WWY3-2|PRP31_HUMAN,NA,2022200,NA,NA,NA,NA,1565700,1088600,1427800,987430,1061400,NA,NA,NA,NA,1056000,1146400,NA,NA,NA,NA,1356900,NA,NA,NA,NA,NA
sp|Q8WX93-3|PALLD_HUMAN;sp|Q8WX93|PALLD_HUMAN;sp|Q8WX93-4|PALLD_HUMAN;sp|Q8WX93-8|PALLD_HUMAN;sp|Q8WX93-5|PALLD_HUMAN;sp|Q8WX93-2|PALLD_HUMAN;sp|Q8WX93-9|PALLD_HUMAN;sp|Q8WX93-7|PALLD_HUMAN,2507900,1614000,1978300,7462400,1744400,3781600,411630,5744800,3561300,5202200,8116400,1661900,4683000,1594800,477660,NA,3518900,2322500,2045700,3784100,4059900,4172400,5399100,3669200,3899600,3668200,2484700
