Protein.IDs,LFQ.intensity.01.51.48.N,LFQ.intensity.02.2870.17.T,LFQ.intensity.03.613.19.T,LFQ.intensity.04.91.19.N,LFQ.intensity.05.1200.18.N,LFQ.intensity.06.34.20.T,LFQ.intensity.07.306.19.T,LFQ.intensity.08.2283.18.T,LFQ.intensity.10.885.17.T,LFQ.intensity.11.51.18.T,LFQ.intensity.12.1315.18.T,LFQ.intensity.13.1219.17.T,LFQ.intensity.14.1301.19.N,LFQ.intensity.15.1219.17.N,LFQ.intensity.16.2286.19.T,LFQ.intensity.17.2097.17.T,LFQ.intensity.18.1301.19.T,LFQ.intensity.19.2870.17.N,LFQ.intensity.20.2097.17.N,LFQ.intensity.21.613.19.N,LFQ.intensity.22.1200.18.T,LFQ.intensity.23.1512.18.T,LFQ.intensity.24.885.17.N,LFQ.intensity.25.2286.19.N,LFQ.intensity.26.91.19.T,LFQ.intensity.27.1315.18.N,LFQ.intensity.28.2283.18.N
sp|O14617-3|AP3D1_HUMAN;sp|O14617-2|AP3D1_HUMAN;sp|O14617|AP3D1_HUMAN;sp|O14617-5|AP3D1_HUMAN;sp|O14617-4|AP3D1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14618|CCS_HUMAN,NA,NA,1002400,NA,NA,1279500,732200,NA,878140,1332000,1039200,NA,NA,NA,927730,1089400,914140,NA,NA,NA,2167900,NA,NA,1078800,1118200,NA,NA
sp|O14639-4|ABLM1_HUMAN;sp|O14639-3|ABLM1_HUMAN;sp|O14639-5|ABLM1_HUMAN;sp|O14639-2|ABLM1_HUMAN;sp|O14639-6|ABLM1_HUMAN;sp|O14639|ABLM1_HUMAN,NA,NA,1802600,1435600,1099600,NA,848520,430140,798630,NA,NA,1171400,2394200,1026300,1117300,2110300,NA,NA,NA,NA,NA,656440,2184000,2000200,NA,1344900,NA
sp|O14647-2|CHD2_HUMAN;sp|O14647|CHD2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14653-3|GOSR2_HUMAN;sp|O14653|GOSR2_HUMAN;sp|O14653-2|GOSR2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14732-2|IMPA2_HUMAN;sp|O14732|IMPA2_HUMAN,NA,7824700,NA,NA,NA,NA,1152800,NA,NA,NA,NA,1674300,NA,NA,1988400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14737|PDCD5_HUMAN;sp|O14737-2|PDCD5_HUMAN,2529000,2379700,2296600,1760100,1877800,2231100,4076900,2427000,2735000,3446600,2345300,2083400,1531400,1321600,NA,3878900,2314400,1092500,NA,1273600,1780500,2023600,1671900,1533500,3260100,1529400,1541300
sp|O14744|ANM5_HUMAN;sp|O14744-2|ANM5_HUMAN;sp|O14744-5|ANM5_HUMAN;sp|O14744-3|ANM5_HUMAN;sp|O14744-4|ANM5_HUMAN,NA,2529400,1689100,NA,NA,1055000,3714000,1052600,712730,NA,1578200,2109100,NA,NA,1725200,3614000,752400,NA,NA,833210,862560,NA,NA,NA,1148600,584820,698680
sp|O14745|NHRF1_HUMAN;sp|O14745-2|NHRF1_HUMAN,3884500,3882700,5966400,2343500,2886700,3347200,2483200,2743000,5623700,4994500,2269100,1676500,1976400,2509700,NA,5841500,10661000,2385400,1598000,NA,1306800,5437100,2983200,1600200,4868500,1773600,2100000
sp|O14773-2|TPP1_HUMAN;sp|O14773|TPP1_HUMAN,13115000,12949000,12626000,23503000,30757000,17173000,6689800,18336000,11246000,10770000,13704000,16063000,37507000,39598000,24153000,9702600,10021000,52845000,76069000,44492000,10815000,8531000,7092100,7770000,14790000,12049000,27927000
sp|O14776-2|TCRG1_HUMAN;sp|O14776|TCRG1_HUMAN,1193600,2095400,1223900,NA,1028700,1524900,2666700,1360100,1092500,2303600,1460600,2478200,553390,833940,1841600,2522800,1161700,1072800,915770,872410,1372900,1245600,803980,1098900,1429600,1114900,1086100
sp|O14818|PSA7_HUMAN;sp|O14818-4|PSA7_HUMAN;sp|O14818-2|PSA7_HUMAN,1657100,2437600,2425900,1688100,1360800,1536600,3292100,1647700,2380500,1451500,3381500,1805600,1281000,1590500,1810600,2166800,1611900,1099100,1709300,1550300,2442400,1219700,1283800,1108200,1808200,1278200,1670400
sp|O14828|SCAM3_HUMAN;sp|O14828-2|SCAM3_HUMAN,3420300,1647000,3955100,1769600,1693700,2828500,6686600,6450500,2241900,4907300,2211400,1098400,1634000,1873600,NA,3945700,2133300,2066400,1837700,1090500,NA,3020700,1779600,1524500,5786600,NA,5030200
sp|O14841|OPLA_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,553770,NA,515000,NA,NA,1166300,445510,NA,NA,NA,NA,NA,849630,NA,NA,NA,NA,NA
sp|O14874-2|BCKD_HUMAN;sp|O14874-3|BCKD_HUMAN;sp|O14874|BCKD_HUMAN,NA,1079300,890020,NA,NA,NA,910840,2373900,NA,1179500,927560,NA,NA,1200000,NA,1071600,2144500,1399400,NA,NA,2628100,NA,NA,NA,NA,NA,NA
sp|O14879|IFIT3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14933|UB2L6_HUMAN;sp|O14933-2|UB2L6_HUMAN,4051900,8239400,3731400,NA,2291400,3055300,1433900,3341100,7332900,2791400,7058200,4506500,NA,NA,NA,2920800,8593400,1651900,NA,1374100,1327600,1604500,1392000,NA,36384000,NA,2682000
sp|O14936-3|CSKP_HUMAN;sp|O14936-4|CSKP_HUMAN;sp|O14936-6|CSKP_HUMAN;sp|O14936-2|CSKP_HUMAN;sp|O14936|CSKP_HUMAN;sp|O14936-5|CSKP_HUMAN,NA,884300,NA,NA,641710,NA,1161800,1204700,1079300,914480,1341500,927240,NA,NA,NA,NA,NA,NA,NA,NA,NA,784010,NA,1006600,NA,1197700,NA
sp|O14949|QCR8_HUMAN,NA,523690,525720,NA,NA,765020,2187200,843310,NA,NA,912770,735020,NA,NA,2096200,1193200,NA,810520,NA,NA,891140,NA,NA,1118100,NA,843730,NA
sp|O14950|ML12B_HUMAN,23323000,16868000,28159000,25707000,21046000,17518000,11913000,23276000,16891000,19022000,24744000,17285000,21839000,17024000,18474000,10794000,23142000,22894000,20170000,30804000,23848000,16665000,21064000,21832000,14000000,29340000,17810000
sp|O14964-2|HGS_HUMAN;sp|O14964|HGS_HUMAN,NA,962730,832260,NA,NA,NA,1894300,945370,1170700,1586100,1752800,970830,NA,NA,NA,1153800,1236200,1016300,980700,NA,NA,NA,NA,942600,NA,NA,NA
sp|O14972-2|VP26C_HUMAN;sp|O14972|VP26C_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O14974-5|MYPT1_HUMAN;sp|O14974-4|MYPT1_HUMAN;sp|O14974-2|MYPT1_HUMAN;sp|O14974|MYPT1_HUMAN;sp|O14974-3|MYPT1_HUMAN,3055200,2659100,1792800,4415500,2403500,2286800,2190600,3026000,3992200,3334700,4262100,2013300,3844400,1958200,NA,2016800,4226800,2825400,NA,3681400,2087500,3179900,5870900,NA,3441100,3610100,2009600
